enrollment_id,X_train_feature,dropout_train
97,15 1 1 2 1 2,1
98,15 299 8 12 29 73,0
99,18 6 1 1 1 1,1
100,11 1 1 1 1 0,1
101,0 566 13 14 27 32,0
102,7 93 3 3 31 16,1
103,3 289 7 5 12 21,1
104,1 3 1 1 1 0,1
105,7 49 5 6 15 9,1
106,27 11 1 2 7 0,1
107,26 7 1 1 2 1,1
108,29 1 1 1 1 0,1
109,1 5 1 1 1 1,1
110,13 20 1 1 8 2,1
111,1 25 1 2 2 7,1
112,12 1 1 1 1 0,1
113,15 1 1 1 17 9,1
114,27 15 1 1 4 3,1
115,21 3 1 1 3 0,1
116,7 135 10 8 15 37,0
117,7 40 2 3 9 9,1
118,7 7 1 2 2 1,1
119,18 14 2 4 4 3,1
120,7 9 1 2 7 0,1
121,7 201 8 8 28 22,0
122,22 175 6 11 17 47,0
123,0 1 1 1 1 0,1
124,4 1 1 1 7 4,0
125,7 21 1 1 3 1,1
126,30 22 1 2 1 6,1
127,4 24 1 1 6 2,1
128,21 16 1 2 4 4,1
129,31 5 1 1 1 1,1
130,27 99 3 5 5 20,1
131,1 136 2 7 17 35,1
132,0 12 1 1 1 3,0
133,5 22 1 2 2 3,1
134,18 1 1 1 1 0,1
135,30 82 2 4 5 2,1
136,4 2 1 1 2 0,1
137,11 382 9 9 40 72,0
138,7 1 1 1 1 0,1
139,1 256 10 15 43 46,0
140,6 25 1 2 3 5,1
141,11 54 4 5 10 4,1
142,24 1 1 1 1 0,1
143,16 3 2 2 3 0,1
144,32 14 1 1 2 2,1
145,15 9 2 1 3 2,0
146,20 55 1 2 1 0,1
147,22 120 5 6 20 3,0
148,15 169 4 10 16 46,0
149,7 14 1 2 4 1,1
150,4 10 1 1 3 2,1
151,12 29 2 5 8 6,0
152,7 73 3 6 18 10,1
153,33 21 1 3 2 6,1
154,7 2 1 1 2 0,1
155,1 5 2 2 5 0,1
156,22 24 2 3 3 1,1
157,1 1 1 1 1 0,1
158,7 32 3 2 11 6,1
159,6 68 2 2 12 20,0
160,4 3 1 1 3 0,1
161,4 254 11 7 11 88,0
162,22 1 1 1 1 0,1
163,21 815 13 15 66 30,0
164,16 291 6 12 17 31,1
165,34 16 1 1 2 2,1
166,18 322 8 4 28 50,0
167,1 48 4 4 13 9,1
168,7 37 5 5 9 4,1
169,7 6 2 2 6 0,1
170,2 2 1 1 2 0,1
171,4 8 1 1 5 0,1
172,5 1 1 1 1 0,1
173,9 2 1 1 2 0,1
174,1 1 1 1 1 0,0
175,16 39 4 5 5 4,1
176,35 500 15 13 58 82,0
177,14 2 1 1 2 0,1
178,4 1 1 1 1 0,1
179,7 1 1 1 1 0,1
180,11 1 1 1 1 0,1
181,11 23 1 1 2 7,0
182,9 1 1 1 1 0,1
183,4 100 3 4 8 26,0
184,22 356 8 17 21 110,0
185,4 30 1 3 8 4,1
186,36 43 3 1 8 1,1
187,2 16 1 1 4 3,1
188,11 4 1 1 2 0,1
189,10 9 1 1 2 2,1
190,14 1 1 1 1 0,1
191,11 2 1 1 2 0,1
192,1 1 1 1 1 0,1
193,15 1 1 1 2 1,1
194,18 17 1 3 3 4,1
195,7 58 2 2 8 7,0
196,16 3 3 1 3 0,1
197,1 1 1 1 1 0,1
198,21 34 1 1 2 10,1
199,33 5 1 1 1 1,1
200,7 72 4 5 17 13,1
201,37 8 1 1 4 1,1
202,1 4 1 1 1 0,1
203,1 2 1 1 2 0,1
204,8 452 12 18 36 124,0
205,14 1 1 1 1 0,1
206,7 221 13 11 35 34,0
207,4 252 14 15 45 22,0
208,11 1 1 1 1 0,1
209,30 2 1 1 2 0,1
210,22 39 1 2 2 1,1
211,19 1 1 1 1 0,1
212,1 12 2 1 6 0,1
213,21 59 1 2 5 4,0
214,24 6 1 1 2 1,1
215,11 19 1 1 6 1,1
216,32 7 1 1 2 1,1
217,21 6 1 2 2 0,1
218,30 14 2 2 3 1,1
219,16 208 6 9 42 23,0
220,4 7 1 1 4 1,1
221,0 25 1 1 7 3,1
222,14 3 1 1 3 0,1
223,1 7 1 1 3 1,0
224,4 14 1 1 6 2,1
225,15 63 1 3 17 12,1
226,17 57 2 3 15 5,1
227,18 44 3 6 9 18,1
228,12 5 1 1 1 1,1
229,37 1 1 1 1 0,1
230,26 1 1 1 1 0,1
231,14 947 22 17 90 197,0
232,2 1 1 1 1 0,1
233,1 101 5 8 17 25,1
234,4 94 5 8 13 30,1
235,11 5 1 1 2 1,1
236,11 19 2 3 3 1,1
237,8 34 1 1 2 9,1
238,15 3 1 1 1 0,1
239,15 7 1 1 6 0,1
240,10 46 1 2 6 4,1
241,13 8 1 1 2 2,1
242,13 119 6 9 16 34,0
243,21 106 9 8 10 16,0
244,2 19 1 1 2 4,1
245,4 122 5 7 7 26,1
246,11 3 1 2 3 0,1
247,4 28 2 3 6 5,1
248,11 91 1 3 8 19,1
249,7 21 1 1 3 5,1
250,4 43 1 1 16 8,1
251,24 118 7 8 21 3,1
252,2 22 1 4 15 2,1
253,24 5 1 1 2 1,1
254,11 131 5 4 18 27,1
255,15 12 2 3 4 3,1
256,24 27 1 1 8 1,1
257,12 17 2 2 5 2,1
258,15 1 1 1 1 2,1
259,13 5 1 1 2 1,1
260,30 2 1 1 2 0,0
261,7 9 1 1 5 1,1
262,4 1 1 1 1 0,1
263,30 192 7 7 35 12,1
264,7 13 1 2 5 1,1
265,29 5 1 1 1 1,1
266,9 7 1 1 2 1,1
267,3 49 4 3 7 13,1
268,11 223 9 8 35 13,1
269,13 84 2 2 7 8,1
270,7 161 9 6 36 22,0
271,7 5 1 1 3 0,1
272,25 2 1 1 2 0,1
273,9 5 1 1 1 1,1
274,3 16 2 2 3 4,1
275,12 187 4 5 15 31,1
276,10 259 1 3 11 22,1
277,0 90 3 5 5 12,1
278,34 1 1 1 1 0,1
279,13 6 1 1 2 0,1
280,7 106 3 6 6 19,0
281,36 34 3 4 5 10,1
282,35 5 1 1 1 1,0
283,16 20 3 3 4 6,1
284,18 1 1 1 1 0,1
285,4 192 6 8 30 74,0
286,23 1 1 1 1 0,1
287,27 1 1 1 1 0,1
288,23 1 1 1 1 0,1
289,27 266 3 5 15 42,0
290,3 2 1 1 2 0,1
291,4 1 1 1 1 0,1
292,1 133 7 11 20 2,0
293,24 11 2 2 3 1,1
294,2 9 3 3 2 0,1
295,3 1 1 1 1 0,1
296,20 2 1 2 2 0,1
297,10 56 1 2 9 6,1
298,20 23 1 3 4 0,0
299,14 1 1 1 1 0,1
300,4 24 3 5 3 0,1
301,34 166 4 6 14 27,1
302,31 1 1 1 1 0,1
303,24 78 6 9 26 4,1
304,1 45 4 4 9 11,1
305,4 13 1 1 1 4,1
306,7 111 6 7 13 18,1
307,26 56 2 2 8 10,1
308,7 32 2 6 7 7,1
309,19 7 2 3 4 1,1
310,1 69 6 8 12 6,1
311,15 112 3 6 15 36,1
312,4 102 3 3 5 34,1
313,11 23 1 1 4 0,1
314,7 9 1 1 3 1,1
315,5 24 1 2 10 2,1
316,34 11 1 1 5 1,0
317,34 27 6 6 6 7,1
318,1 2 2 2 2 0,1
319,10 32 1 2 1 3,1
320,3 10 2 2 3 2,1
321,12 12 1 1 5 1,1
322,21 1 1 1 1 0,1
323,18 13 1 1 3 3,1
324,11 25 2 2 3 5,1
325,11 1 1 1 1 0,1
326,21 3 1 1 3 0,1
327,15 113 9 8 14 31,1
328,13 5 1 1 1 1,1
329,22 22 2 2 6 5,1
330,36 24 3 2 10 1,1
331,7 7 1 1 3 1,1
332,3 2 1 1 2 0,1
333,10 1 1 1 3 0,1
334,15 35 1 2 5 7,1
335,31 89 5 6 16 25,0
336,38 2 1 1 2 0,1
337,23 1 1 1 1 0,1
338,1 10 2 4 3 1,1
339,3 1 1 1 1 0,1
340,4 124 15 7 11 67,0
341,15 500 15 17 34 117,0
342,6 1 1 1 2 1,1
343,7 8 1 1 3 1,1
344,7 23 1 1 6 2,0
345,18 13 1 1 6 2,1
346,1 48 2 2 15 9,0
347,33 1 1 1 1 0,1
348,4 56 2 5 12 11,1
349,22 242 11 7 18 79,0
350,30 7 1 1 2 0,1
351,26 7 1 1 1 2,1
352,20 1 1 1 1 0,1
353,4 1 1 3 1 2,1
354,11 32 1 2 6 3,1
355,4 78 4 5 21 15,1
356,11 17 1 2 1 4,1
357,10 47 4 5 1 4,0
358,18 5 1 1 1 1,1
359,4 7 1 1 1 1,1
360,21 69 1 1 3 3,0
361,34 148 5 10 7 13,1
362,15 1 1 1 1 0,1
363,16 3 1 1 3 0,1
364,11 22 2 2 6 4,1
365,18 6 1 1 1 0,1
366,26 1 1 1 1 0,1
367,29 3 1 2 3 0,1
368,7 19 1 2 8 1,1
369,9 1 1 1 1 0,1
370,13 1 1 1 1 0,1
371,9 587 21 19 53 143,0
372,16 168 8 6 46 5,0
373,25 3 2 1 3 0,0
374,16 49 2 3 11 1,1
375,0 9 1 1 2 1,1
376,9 257 7 8 25 36,0
377,31 17 1 1 3 4,1
378,15 27 1 3 3 5,1
379,30 1 1 1 1 0,1
380,0 1 1 1 1 0,1
381,27 87 4 8 9 18,1
382,27 3 1 1 2 0,1
383,14 1 1 1 1 0,1
384,3 223 5 7 13 41,0
385,25 19 1 1 7 3,1
386,25 1 1 1 1 0,1
387,13 5 1 2 1 1,1
388,19 14 2 3 4 1,1
389,18 13 2 2 5 3,1
390,7 14 1 2 3 0,1
391,28 16 2 2 8 2,0
392,20 8 1 2 1 2,1
393,33 340 10 8 26 46,0
394,4 5 1 1 1 1,1
395,1 22 2 2 4 5,1
396,2 605 17 14 67 165,0
397,1 29 1 2 6 7,1
398,16 11 1 3 3 1,1
399,38 6 1 1 3 0,0
400,0 313 5 6 35 21,1
401,15 29 1 1 12 5,1
402,11 25 1 4 3 5,1
403,5 2 1 1 2 0,1
404,15 607 14 13 68 171,0
405,14 10 1 1 8 0,1
406,8 1 1 1 1 0,1
407,6 38 3 3 14 6,1
408,24 23 2 3 9 0,1
409,6 1 1 1 1 0,1
410,15 1 1 1 1 3,0
411,7 1 1 1 4 1,1
412,15 90 3 7 14 0,1
413,10 298 7 8 59 24,0
414,25 1 1 1 1 0,1
415,27 49 2 2 2 12,1
416,7 9 1 1 1 2,1
417,18 32 6 6 12 15,1
418,16 389 12 18 51 6,0
419,11 5 1 1 3 0,1
420,4 7 1 2 1 2,1
421,12 538 8 11 24 71,0
422,1 30 1 1 5 6,1
423,17 12 1 1 6 1,1
424,5 23 1 2 6 4,1
425,32 241 8 8 21 49,1
426,7 1 1 1 1 0,1
427,0 8 1 1 4 1,1
428,11 129 4 8 23 26,0
429,12 67 7 7 10 3,0
430,7 10 1 1 2 1,1
431,11 210 10 7 26 7,0
432,7 10 1 1 2 2,1
433,6 339 13 18 45 51,0
434,15 1 1 1 1 0,0
435,19 6 1 1 2 1,1
436,28 9 1 1 1 1,1
437,11 33 2 2 7 12,1
438,7 168 9 10 38 27,0
439,0 235 7 9 24 30,0
440,22 205 7 11 18 58,0
441,7 22 2 1 7 4,1
442,0 68 1 2 5 11,1
443,0 6 1 1 2 1,1
444,31 8 2 3 4 1,1
445,4 1 1 1 1 0,1
446,7 5 1 1 1 1,1
447,33 1 1 1 1 0,1
448,4 87 6 5 13 23,1
449,23 3 1 1 3 0,1
450,11 14 1 1 2 2,1
451,2 1 1 1 1 0,1
452,15 62 1 5 21 13,1
453,16 11 2 2 2 0,1
454,2 17 2 2 4 4,1
455,27 319 13 12 48 9,0
456,19 24 2 1 4 4,1
457,0 63 3 5 5 6,1
458,38 47 2 1 7 5,1
459,2 1 1 1 1 0,1
460,7 184 11 12 24 41,0
461,26 310 3 5 24 33,1
462,24 9 1 3 2 2,0
463,34 536 14 11 14 69,0
464,8 1 1 1 1 0,1
465,0 14 1 2 4 3,1
466,1 312 19 14 33 84,0
467,14 16 1 1 4 2,1
468,1 4 1 1 2 0,1
469,0 34 1 2 14 6,1
470,15 120 7 7 24 13,0
471,4 1 1 1 1 0,1
472,15 28 1 1 12 4,1
473,2 1 1 1 1 0,1
474,15 2 1 1 2 0,1
475,2 6 1 1 3 0,1
476,1 24 2 3 9 2,1
477,33 19 1 2 11 2,1
478,13 44 5 5 11 7,1
479,11 1 1 1 1 0,1
480,4 15 4 4 1 5,1
481,6 1 1 1 1 0,1
482,7 6 1 1 2 1,1
483,18 40 3 4 5 1,1
484,15 413 12 12 33 75,0
485,4 3 1 1 3 0,1
486,18 47 1 2 3 11,1
487,7 207 15 17 60 29,0
488,16 43 1 2 3 5,1
489,14 9 1 1 2 2,1
490,16 30 2 2 12 2,1
491,16 38 2 2 7 4,0
492,35 16 2 3 3 0,1
493,4 4 1 1 1 1,1
494,1 7 1 1 5 0,1
495,13 35 1 3 1 5,1
496,16 4 1 2 1 1,1
497,17 1 1 1 1 0,1
498,34 21 1 1 7 2,1
499,34 38 2 3 10 5,1
500,15 1 1 1 1 0,1
501,7 1 1 1 2 0,1
502,0 8 2 2 4 1,1
503,2 1 1 1 1 0,1
504,4 8 1 2 2 2,1
505,8 7 1 1 3 0,1
506,10 1 1 1 1 0,1
507,21 30 3 4 6 6,1
508,6 1 1 1 1 0,1
509,18 156 5 10 12 32,0
510,4 90 4 5 10 26,1
511,9 417 12 10 44 88,0
512,10 1 1 1 1 0,1
513,7 27 2 3 10 13,0
514,27 6 1 1 6 0,1
515,31 1 1 1 1 0,1
516,1 72 6 6 11 6,1
517,30 11 1 1 2 3,0
518,18 5 1 2 1 1,0
519,4 7 1 1 2 1,1
520,16 41 1 2 18 4,1
521,2 2 1 1 2 0,1
522,4 4 1 1 2 0,1
523,37 4 1 1 2 0,1
524,15 23 1 1 11 4,1
525,33 2 1 1 2 0,1
526,9 184 5 7 19 43,1
527,10 30 1 2 5 4,1
528,13 1 1 1 1 0,1
529,0 428 6 16 5 32,0
530,15 52 1 3 5 15,1
531,36 19 1 1 4 2,1
532,0 6 5 5 6 0,1
533,0 721 17 20 37 53,0
534,21 1 1 1 1 0,1
535,37 22 1 1 2 1,1
536,1 1 1 1 1 0,1
537,1 61 3 5 8 19,0
538,7 1 1 1 2 0,1
539,11 1 1 1 1 0,1
540,12 24 4 7 3 6,1
541,21 23 2 2 4 7,0
542,25 3 2 2 3 0,1
543,15 9 1 1 1 2,1
544,21 71 1 3 7 5,1
545,13 7 1 1 3 1,1
546,15 205 5 7 68 38,1
547,8 4 1 1 2 0,1
548,4 56 5 4 8 5,0
549,23 1 1 1 1 0,1
550,1 2 1 1 2 0,1
551,21 40 1 1 2 6,1
552,15 13 1 1 2 3,1
553,0 6 1 1 4 0,1
554,32 1 1 1 1 0,1
555,0 4 1 1 4 0,1
556,9 3 1 1 3 0,1
557,21 14 1 1 2 3,1
558,16 2 1 1 2 0,1
559,14 1 1 1 1 0,1
560,0 946 13 9 41 102,0
561,11 18 1 2 2 4,1
562,10 10 1 1 3 2,1
563,1 115 4 7 28 26,1
564,18 1 1 1 1 0,1
565,23 16 2 2 4 2,1
566,1 82 8 10 7 22,1
567,1 9 1 1 2 2,1
568,4 9 1 2 6 1,1
569,31 5 1 1 3 0,1
570,11 200 3 8 23 49,0
571,28 6 1 1 3 1,1
572,18 6 1 1 2 1,1
573,4 71 4 6 5 24,0
574,11 14 1 1 1 3,1
575,18 79 1 2 5 6,1
576,18 63 4 3 10 7,0
577,7 161 6 8 21 32,0
578,26 7 1 1 2 1,0
579,0 6 1 1 2 0,1
580,7 148 8 5 24 22,1
581,16 250 6 7 30 38,0
582,5 1 1 1 1 0,1
583,20 1 1 1 1 0,1
584,4 5 1 1 4 0,1
585,16 24 1 2 2 0,1
586,16 1 1 1 1 0,1
587,29 108 4 5 14 14,0
588,25 2 1 1 2 0,0
589,5 279 5 12 21 36,1
590,9 23 1 1 4 2,1
591,11 12 1 2 3 3,1
592,23 13 1 1 4 2,1
593,22 10 1 1 2 2,1
594,18 65 1 3 5 8,1
595,15 93 4 5 9 17,0
596,2 265 13 6 26 1,0
597,16 2 1 1 2 0,1
598,27 119 3 5 14 24,1
599,35 1 1 1 1 0,1
600,7 82 4 5 12 17,0
601,1 56 2 4 8 13,1
602,7 27 2 3 9 4,1
603,18 21 1 4 5 6,1
604,14 1 1 1 1 0,1
605,1 26 5 7 6 1,0
606,3 8 1 2 1 1,1
607,21 12 1 3 2 3,1
608,25 8 1 1 4 1,1
609,27 9 1 1 2 2,1
610,9 2 2 2 2 0,1
611,11 275 11 10 23 70,0
612,4 2 1 1 2 0,1
613,29 3 1 1 3 0,1
614,4 9 1 2 2 1,1
615,7 31 1 2 14 5,1
616,11 1 1 1 1 0,1
617,31 12 1 1 2 3,1
618,13 27 3 4 4 5,1
619,21 102 5 8 7 25,0
620,19 6 1 1 2 1,1
621,12 2 1 1 2 0,1
622,35 21 3 5 16 2,1
623,19 2 1 1 2 0,1
624,16 117 3 4 15 14,1
625,0 62 2 7 9 14,0
626,29 24 2 3 4 6,1
627,11 14 2 2 2 1,1
628,11 23 3 2 4 5,0
629,7 74 5 5 13 6,1
630,14 1 1 1 1 0,1
631,4 50 9 10 3 0,1
632,4 223 4 13 24 43,0
633,0 615 9 14 27 9,0
634,15 334 12 16 20 74,0
635,24 36 1 1 7 6,1
636,9 7 2 2 3 0,1
637,9 192 9 13 30 8,1
638,22 1 1 1 1 0,1
639,1 232 14 14 42 12,0
640,25 13 2 2 12 0,1
641,2 13 1 1 5 1,1
642,5 47 2 4 2 12,1
643,29 1 1 1 1 0,1
644,4 8 1 1 4 0,1
645,18 1 1 1 1 0,1
646,3 1 1 1 1 0,1
647,17 25 2 2 11 3,0
648,31 5 1 1 2 1,1
649,24 40 2 5 13 4,1
650,1 17 1 2 3 1,1
651,15 71 2 3 11 14,1
652,1 150 8 10 35 12,0
653,3 11 1 2 3 2,1
654,7 94 5 4 23 9,1
655,22 14 1 3 2 5,1
656,20 8 1 1 4 1,1
657,7 14 1 2 6 1,1
658,11 14 1 2 2 4,1
659,27 1 1 1 1 0,1
660,11 37 2 3 4 10,1
661,1 2 1 1 2 0,1
662,38 1 1 1 1 0,0
663,2 11 1 2 1 3,1
664,22 374 10 12 35 93,0
665,21 3 1 2 3 0,1
666,9 6 1 2 2 1,1
667,37 1 1 1 1 0,1
668,6 61 3 6 9 9,1
669,1 2 1 1 2 0,1
670,17 139 1 2 1 22,1
671,11 53 2 3 7 12,1
672,7 44 4 5 14 8,1
673,37 9 2 2 5 1,1
674,9 1 1 1 1 0,1
675,6 306 5 6 18 51,0
676,27 13 2 3 3 3,1
677,36 1 1 1 1 0,1
678,7 6 1 2 2 1,1
679,15 21 1 1 7 5,1
680,33 1 1 1 1 0,0
681,15 345 9 14 43 93,0
682,31 39 2 4 5 4,1
683,2 12 1 1 2 3,1
684,14 14 1 2 4 3,1
685,4 328 10 9 56 34,0
686,4 248 10 12 44 78,0
687,11 67 1 2 22 3,1
688,27 1 1 1 1 0,1
689,4 176 9 10 32 14,0
690,12 1 1 1 1 0,1
691,2 8 1 1 1 2,1
692,16 244 9 11 53 20,0
693,3 9 1 2 2 0,1
694,18 225 13 14 44 17,0
695,5 1 1 1 1 0,1
696,0 1 1 1 1 0,1
697,21 2 1 1 2 0,1
698,27 260 4 12 15 65,0
699,37 7 1 1 2 1,1
700,1 54 5 6 5 5,0
701,5 1 1 1 1 0,1
702,11 75 4 8 6 14,0
703,28 1 1 1 1 0,1
704,1 6 1 1 2 1,1
705,38 2 1 1 2 0,1
706,26 5 1 2 1 1,1
707,3 1 1 1 1 0,1
708,37 1 1 1 1 0,1
709,25 84 4 5 10 19,1
710,21 1 1 1 1 0,1
711,1 1 1 1 1 0,1
712,1 96 4 6 7 36,0
713,6 1 1 1 1 0,1
714,3 16 1 1 2 4,1
715,23 3 1 1 3 0,0
716,7 4 1 2 3 0,1
717,9 1 1 1 1 0,1
718,26 18 1 1 6 3,1
719,1 6 1 1 2 1,1
720,25 12 3 2 8 1,0
721,7 1 1 1 1 0,1
722,35 35 3 4 5 4,1
723,0 3 2 2 3 0,1
724,15 87 3 6 17 20,1
725,1 29 1 1 2 7,1
726,7 13 1 1 1 1,1
727,1 57 3 8 8 12,0
728,5 214 5 6 8 37,0
729,11 1 1 1 1 0,1
730,28 208 9 9 30 37,0
731,23 2 1 1 2 0,1
732,15 251 11 7 30 64,0
733,7 1 1 1 1 0,1
734,34 1 1 1 1 0,1
735,7 35 3 4 3 8,0
736,27 1 1 1 1 0,1
737,3 18 1 2 3 2,1
738,7 1 1 1 1 0,1
739,20 1 1 1 1 0,1
740,11 13 1 2 2 1,1
741,0 5 1 2 3 0,1
742,12 3 1 1 1 0,0
743,12 13 2 3 4 1,1
744,29 1 1 1 1 0,1
745,15 378 9 15 39 97,0
746,10 1 1 1 1 0,1
747,13 1 1 1 1 0,1
748,11 13 1 1 2 3,1
749,1 25 3 3 5 8,1
750,17 45 2 2 2 5,1
751,0 10 2 2 4 1,1
752,34 325 5 9 4 51,1
753,16 9 1 2 3 2,1
754,4 140 7 11 27 4,0
755,7 27 1 2 3 6,1
756,0 713 15 15 38 62,0
757,15 179 5 5 34 42,1
758,27 106 5 3 11 14,1
759,9 2 1 1 2 0,1
760,22 85 1 2 9 25,1
761,25 8 2 1 2 0,1
762,18 6 1 1 2 1,1
763,13 1 1 1 8 8,1
764,11 26 1 2 4 5,1
765,18 1 1 1 1 0,1
766,7 27 3 2 9 4,1
767,22 189 7 10 20 7,0
768,18 1 1 1 1 0,1
769,17 1 1 1 1 0,1
770,17 50 2 4 4 3,1
771,26 138 2 3 11 12,1
772,38 1 1 1 1 0,1
773,7 50 3 5 11 8,1
774,38 29 1 2 5 6,1
775,1 29 1 3 7 2,1
776,18 2 1 1 2 0,1
777,4 290 9 10 28 50,1
778,38 1 1 1 1 0,1
779,7 1 1 1 1 0,1
780,4 73 1 4 16 0,1
781,2 2 1 1 2 0,1
782,15 6 2 3 1 4,1
783,29 1 1 1 1 0,1
784,31 13 2 2 5 2,1
785,1 62 5 5 30 9,1
786,1 16 2 3 6 3,0
787,11 56 2 4 7 14,1
788,1 64 1 3 7 18,1
789,17 63 2 4 8 7,1
790,6 8 3 3 9 2,1
791,9 135 8 7 15 37,0
792,16 8 1 1 2 2,1
793,30 334 8 11 19 50,0
794,26 98 2 3 9 16,0
795,1 50 2 2 5 13,1
796,4 1 1 1 1 0,1
797,7 1 1 1 1 0,1
798,0 1 1 1 1 0,1
799,4 12 1 2 4 3,1
800,0 174 5 6 17 6,0
801,35 67 3 4 11 16,0
802,9 5 1 1 1 1,1
803,14 64 3 6 22 30,1
804,23 59 3 4 2 8,1
805,23 41 2 4 3 6,1
806,34 8 2 3 3 1,0
807,11 68 4 4 7 18,1
808,0 148 3 6 12 36,0
809,17 10 1 1 4 0,1
810,7 42 3 3 13 3,0
811,11 27 1 3 3 6,0
812,5 49 1 1 6 11,1
813,1 1 1 1 1 0,1
814,17 14 1 1 2 1,1
815,13 1 1 1 1 0,1
816,38 49 2 3 9 9,1
817,11 28 1 2 2 5,0
818,11 17 1 1 7 0,1
819,3 1 1 1 1 0,1
820,1 39 1 1 5 8,1
821,34 16 3 3 3 2,0
822,5 938 16 16 99 156,0
823,11 14 1 1 2 1,1
824,6 38 5 4 7 9,1
825,15 195 9 8 30 53,0
826,6 24 1 1 1 4,1
827,9 4 2 3 4 0,1
828,23 10 1 1 1 2,1
829,15 65 3 6 20 4,1
830,7 67 3 4 12 8,1
831,15 167 10 11 19 43,0
832,21 29 4 2 6 0,0
833,9 1 1 1 1 0,1
834,1 1 1 1 1 0,1
835,7 21 1 2 3 0,1
836,15 2 1 1 2 0,1
837,18 1 1 1 1 0,1
838,35 2 1 1 2 0,1
839,7 9 1 1 1 1,1
840,7 10 1 2 3 1,1
841,18 110 5 5 9 3,0
842,0 67 3 5 7 2,1
843,36 33 1 2 9 5,1
844,18 1 1 1 1 0,1
845,20 1387 20 12 73 153,0
846,15 92 5 5 28 35,0
847,11 50 3 4 7 8,0
848,7 1 1 1 1 0,1
849,9 421 8 13 29 79,0
850,16 7 1 1 7 0,1
851,15 1 1 1 1 0,1
852,32 1 1 1 1 0,1
853,4 170 3 5 14 35,0
854,27 319 9 12 59 13,0
855,18 12 1 1 4 1,1
856,5 106 3 5 15 17,1
857,3 9 1 1 2 1,1
858,1 20 1 3 1 6,1
859,6 641 23 16 102 69,0
860,25 30 2 2 5 9,1
861,3 595 21 12 57 14,0
862,4 222 9 9 45 9,0
863,11 44 3 3 5 13,1
864,22 19 4 5 5 2,1
865,20 142 5 3 8 21,1
866,16 434 8 11 22 29,1
867,22 207 6 10 21 58,0
868,7 13 1 1 6 1,1
869,21 1 1 1 1 0,1
870,15 13 1 1 5 2,1
871,36 138 7 6 17 35,0
872,18 2 1 1 2 0,1
